ID,MobileNO,Day,Month,Year,Hour,Min,Sec,Location,Crowdedness
6839921,89819473a,27,5,2020,20,15,13,137,1
7042433,880885,7,6,2020,16,28,53,115,5
9387201,902726,16,6,2020,10,18,32,18,2
7328517,9061362,5,5,2020,23,55,4,77,1
6998317,817085883,27,6,2020,22,41,18,105,1
7924633,910025149,15,5,2020,20,38,31,85,1
8780003,899881773,15,6,2020,12,34,59,67,5
7241988,869711894,23,6,2020,11,43,15,161,2
8441878,841855729,18,6,2020,20,30,26,37,1
7477022,89139 662,17,5,2020,22,38,28,27,4
8809821,81 997264,20,5,2020,23,48,56,129,2
7549415,857868 58,23,5,2020,12,10,16,113,1
8435754,908  91148,13,6,2020,14,1,6,166,5
6686918,892712,28,6,2020,14,40,45,127,5
9388417,828aa20993,22,6,2020,17,21,51,52,1
8998540,8945cc2912,18,5,2020,14,54,11,159,4
6764900,8@3565519,4,5,2020,20,0,36,48,2
7797445,841a52130,16,5,2020,11,51,47,156,5
8864682,89189 292,27,6,2020,11,35,57,55,4
8011605,89641065,19,5,2020,17,52,53,161,4
7704276,82358904,22,6,2020,15,31,19,83,5
7806846,88659920,15,5,2020,20,31,39,114,3
7249581,82513299,26,5,2020,16,59,26,156,3
7714384,87275425,18,6,2020,17,32,49,163,1
7815465,84002054,11,5,2020,18,22,34,1,1
9000916,84693045,4,6,2020,12,58,9,44,5
7030836,81879877,16,5,2020,20,20,19,136,4
9210882,81522949,17,6,2020,22,13,23,117,1
8725009,89032684,28,6,2020,15,41,2,69,4
7932044,87401429,4,6,2020,13,52,49,14,1
6520814,81659929,15,6,2020,9,29,2,84,4
7692087,88576527,21,6,2020,23,34,14,151,5
8194712,85804088,24,5,2020,10,57,44,148,2
7811660,85720570,7,5,2020,16,54,37,106,3
7223225,86147694,25,6,2020,9,50,32,51,3
7561599,84369209,2,5,2020,19,19,8,1,4
8766081,85105002,23,6,2020,20,44,41,77,1
6817591,87936258,28,5,2020,23,39,50,25,3
8342995,88031508,5,5,2020,9,23,57,134,4
7629734,84393772,21,6,2020,9,47,53,134,2
8205736,89102729,20,6,2020,12,1,20,33,1
6546792,88663180,16,5,2020,22,54,31,133,1
7324013,87188603,25,5,2020,14,35,45,10,5
6641411,88164070,14,6,2020,16,25,46,7,3
7575862,87986883,17,5,2020,9,55,0,44,2
7589183,89436715,24,6,2020,15,55,21,95,4
7883432,89612468,8,6,2020,18,52,21,7,3
8896863,90783725,18,6,2020,20,10,47,104,1
9150998,86168741,13,5,2020,12,4,22,41,3
8035829,82516577,13,6,2020,12,44,49,104,5
6901726,85115120,23,6,2020,17,56,25,81,2
8461534,85438917,17,6,2020,18,15,46,9,1
9243989,88979419,4,6,2020,15,48,41,96,1
7325353,89429379,25,6,2020,21,8,22,119,4
6646430,85432242,17,5,2020,23,58,1,133,4
7509125,89652779,21,6,2020,23,33,56,68,4
7693490,85534540,7,6,2020,20,52,41,108,2
7435685,89838247,1,5,2020,15,53,34,161,3
8777648,83271986,8,5,2020,15,15,24,166,2
7513855,87004772,16,5,2020,9,52,41,161,1
6617211,89096301,17,6,2020,14,19,11,39,2
6513812,89815226,7,5,2020,13,6,4,66,3
8999870,86352795,24,6,2020,12,11,10,63,2
8812857,85654683,8,6,2020,21,40,36,124,1
8308656,90432614,25,6,2020,14,0,27,141,4
9103670,89070733,22,6,2020,9,34,50,170,4
8298634,90822489,11,6,2020,11,11,18,100,1
6692909,88639154,26,6,2020,9,42,59,20,5
7864456,83131862,20,6,2020,23,24,41,123,3
9320777,85512370,6,5,2020,12,10,30,54,5
7259914,88940894,1,5,2020,20,19,11,38,2
8683202,89545063,3,6,2020,15,4,18,72,1
6881148,85027994,27,6,2020,12,0,24,159,3
8963941,88830287,4,5,2020,9,7,51,94,5
7523950,82714314,26,5,2020,22,16,5,163,5
7464049,84948146,26,5,2020,14,10,11,138,4
7324496,82510406,4,6,2020,22,5,50,145,1
7600613,84496669,23,6,2020,19,58,29,19,4
8601264,87500627,25,5,2020,23,23,16,97,3
7979029,88447046,8,5,2020,23,47,14,99,4
7665802,84104783,27,5,2020,11,14,51,83,4
8595465,81462564,28,6,2020,9,22,19,93,4
6674342,84087905,23,6,2020,19,18,51,60,2
9056584,90306868,11,5,2020,12,32,19,56,3
6613068,88373646,10,6,2020,12,27,16,134,1
7788460,83241720,17,6,2020,14,8,24,135,5
8684609,88036404,17,6,2020,19,43,13,55,5
7497946,90665932,27,5,2020,21,42,50,44,1
8377040,83927318,19,5,2020,18,44,46,114,5
7777049,90691576,16,5,2020,20,17,3,166,1
7951483,88683283,20,6,2020,18,38,39,72,5
9014651,81736153,4,6,2020,10,44,55,76,2
6959898,85029409,2,5,2020,14,55,37,27,2
8455793,85521019,14,5,2020,18,10,4,118,3
6552280,84600915,9,5,2020,18,35,58,121,1
7275688,81506329,8,5,2020,22,10,11,76,3
6582755,85924370,26,5,2020,12,39,21,109,3
7601197,89084415,5,6,2020,11,36,42,102,1
7738536,91129089,27,5,2020,17,42,13,55,4
6839921,89819473,11,5,2020,14,13,55,3,2
7042433,88086885,20,5,2020,20,10,26,118,4
9387201,90279026,1,6,2020,16,33,47,118,4
7328517,90613628,17,5,2020,9,0,31,148,5
6998317,81708588,23,5,2020,16,54,14,28,4
7924633,90025149,24,6,2020,16,30,5,68,4
8780003,89881773,23,6,2020,15,21,18,50,2
7241988,86971894,10,5,2020,22,45,26,108,5
8441878,84185579,11,6,2020,17,11,1,154,3
7477022,89139662,6,6,2020,17,28,26,115,2
8809821,81997264,13,6,2020,14,16,39,13,1
7549415,85786858,8,5,2020,22,11,4,124,1
8435754,90891148,6,5,2020,21,42,51,55,5
6686918,89274112,15,6,2020,17,43,45,135,1
9388417,82820993,13,6,2020,22,20,57,70,3
